@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
130,'2023/12/21 03:08:48:940',1,0.000956,-0.029893,-0.071684,0.434687,-2.90325,0.256274,1
131,'2023/12/21 03:08:48:974',1,0.013379,-0.022188,-0.031416,0.42889,-2.904568,0.260115,1
132,'2023/12/21 03:08:49:007',1,-0.015817,-0.040709,-0.022227,0.423715,-2.903816,0.263342,1
133,'2023/12/21 03:08:49:041',1,-0.013257,-0.056795,-0.037987,0.420416,-2.902596,0.267583,1
134,'2023/12/21 03:08:49:074',1,-0.026536,-0.087844,-0.034843,0.415027,-2.901947,0.274751,1
135,'2023/12/21 03:08:49:107',1,-0.062946,-0.112942,-0.008311,0.410199,-2.902363,0.285424,1
136,'2023/12/21 03:08:49:141',1,-0.10217,-0.118522,-0.021986,0.40751,-2.90329,0.297975,1
137,'2023/12/21 03:08:49:174',1,-0.110345,-0.097898,-0.043544,0.403966,-2.907598,0.318911,1
138,'2023/12/21 03:08:49:207',1,-0.11259,-0.072648,-0.033196,0.400531,-2.913684,0.345365,1
139,'2023/12/21 03:08:49:241',1,-0.134042,-0.053349,-0.046798,0.398887,-2.91809,0.371751,1
140,'2023/12/21 03:08:49:274',1,-0.070197,-0.026131,-0.032226,0.397889,-2.921425,0.406988,1
141,'2023/12/21 03:08:49:307',1,-0.05858,-0.012149,-0.02988,0.397547,-2.922774,0.440554,1
142,'2023/12/21 03:08:49:341',1,-0.084697,-0.016393,-0.023336,0.396288,-2.927863,0.471625,1
143,'2023/12/21 03:08:49:373',1,-0.037039,0.020951,-0.045765,0.396161,-2.932014,0.510251,1
144,'2023/12/21 03:08:49:407',1,0.036623,0.043609,-0.053623,0.394127,-2.922139,0.546248,1
145,'2023/12/21 03:08:49:441',1,0.004083,0.03041,0.041453,0.387871,-2.914153,0.576011,1
146,'2023/12/21 03:08:49:474',1,0.005878,0.008473,0.038145,0.381868,-2.915532,0.611006,1
147,'2023/12/21 03:08:49:506',1,-0.02679,0.026325,0.028363,0.374216,-2.920313,0.647582,1
148,'2023/12/21 03:08:49:541',1,0.02113,-0.012374,0.039743,0.370413,-2.921041,0.677298,1
149,'2023/12/21 03:08:49:573',1,-0.063998,-0.032359,0.017464,0.370369,-2.919551,0.709691,1
150,'2023/12/21 03:08:49:608',1,-0.052237,-0.010998,0.006459,0.370531,-2.923298,0.746609,1
151,'2023/12/21 03:08:49:640',1,-0.043577,-0.017605,-0.018254,0.370301,-2.926594,0.777744,1
152,'2023/12/21 03:08:49:674',1,-0.093852,0.01198,-0.012646,0.369988,-2.928928,0.816793,1
153,'2023/12/21 03:08:49:707',1,-0.056832,0.051873,-0.008256,0.36885,-2.93118,0.852214,1
154,'2023/12/21 03:08:49:741',1,-0.032765,0.057748,-0.033687,0.369063,-2.930991,0.891603,1
155,'2023/12/21 03:08:49:775',1,-0.054842,0.05056,-0.033423,0.3662,-2.931441,0.930918,1
156,'2023/12/21 03:08:49:807',1,-0.016689,0.049054,0.007224,0.362564,-2.929894,0.963466,1
157,'2023/12/21 03:08:49:841',1,-0.012269,0.012071,0.024402,0.362846,-2.923963,0.99897,1
158,'2023/12/21 03:08:49:874',1,-0.04306,0.005565,0.015554,0.362905,-2.920529,1.034712,1
159,'2023/12/21 03:08:49:908',1,-0.051372,-0.009387,0.020911,0.361095,-2.920076,1.067225,1
160,'2023/12/21 03:08:49:940',1,0.01106,-0.033321,0.099632,0.361429,-2.92273,1.106777,1
161,'2023/12/21 03:08:49:973',1,-0.02397,0.006247,0.091902,0.368586,-2.92607,1.144103,1
162,'2023/12/21 03:08:50:007',1,-0.062491,0.01845,0.039796,0.37876,-2.928901,1.176632,1
163,'2023/12/21 03:08:50:041',1,0.002442,0.040909,0.006905,0.393582,-2.929616,1.214204,1
164,'2023/12/21 03:08:50:073',1,-0.018978,0.065094,0.008086,0.409979,-2.928465,1.250095,1
165,'2023/12/21 03:08:50:107',1,-0.014183,0.023943,-0.004597,0.425155,-2.92993,1.283677,1
166,'2023/12/21 03:08:50:140',1,0.022525,0.044943,-0.067042,0.436327,-2.933425,1.321502,1
167,'2023/12/21 03:08:50:173',1,-0.085009,-0.007029,0.058848,0.435181,-2.950009,1.361537,1
168,'2023/12/21 03:08:50:207',1,0.000509,0.021874,0.061874,0.439227,-2.963201,1.396142,1
169,'2023/12/21 03:08:50:240',1,-0.097829,0.026947,0.066431,0.447681,-2.967576,1.430335,1
170,'2023/12/21 03:08:50:274',1,-0.136514,0.035512,0.009637,0.466238,-2.971414,1.468791,1
171,'2023/12/21 03:08:50:307',1,-0.040079,0.101053,-0.108288,0.479664,-2.971451,1.505065,1
172,'2023/12/21 03:08:50:341',1,-0.038647,0.118613,-0.062632,0.483844,-2.987916,1.54999,1
173,'2023/12/21 03:08:50:374',1,-0.093883,0.101466,-0.142838,0.464383,-3.035322,1.59769,1
174,'2023/12/21 03:08:50:407',1,-0.097254,0.090255,-0.097596,0.432014,-3.089475,1.640983,1
175,'2023/12/21 03:08:50:440',1,-0.02867,0.065701,-0.006049,0.390656,3.140043,1.682274,1
176,'2023/12/21 03:08:50:473',1,-0.09604,0.051998,-0.001482,0.354724,3.101357,1.717105,1
177,'2023/12/21 03:08:50:508',1,-0.01186,0.044895,0.044732,0.324292,3.073829,1.742423,1
178,'2023/12/21 03:08:50:540',1,-0.012457,0.036148,0.098442,0.301435,3.062711,1.763667,1
179,'2023/12/21 03:08:50:574',1,-0.014076,0.041761,0.116018,0.298876,3.084505,1.780245,1
180,'2023/12/21 03:08:50:607',1,0.059857,0.082435,0.178791,0.311429,3.117061,1.791158,1
181,'2023/12/21 03:08:50:641',1,0.046169,0.059384,0.073691,0.338793,-3.122603,1.795441,1
182,'2023/12/21 03:08:50:674',1,0.072627,0.082192,0.056471,0.35946,-3.086735,1.796226,1
183,'2023/12/21 03:08:50:707',1,0.137589,0.078705,0.093668,0.377559,-3.056048,1.79366,1
184,'2023/12/21 03:08:50:740',1,0.0485,0.061444,0.056645,0.389847,-3.040917,1.788103,1
185,'2023/12/21 03:08:50:773',1,0.093026,0.083818,0.058704,0.396791,-3.033239,1.782608,1
186,'2023/12/21 03:08:50:807',1,0.043721,0.076968,0.037223,0.40322,-3.025668,1.771993,1
187,'2023/12/21 03:08:50:840',1,0.00413,0.08802,0.031618,0.408174,-3.021094,1.763342,1
188,'2023/12/21 03:08:50:874',1,0.015548,0.101056,0.02794,0.410774,-3.016526,1.754804,1
189,'2023/12/21 03:08:50:907',1,0.007742,0.074377,0.035385,0.413631,-3.010717,1.744043,1
190,'2023/12/21 03:08:50:941',1,0.001128,0.071681,0.017578,0.412604,-3.010111,1.735065,1
191,'2023/12/21 03:08:50:974',1,0.004727,0.064918,0.044872,0.409455,-3.014824,1.728592,1
192,'2023/12/21 03:08:51:007',1,0.040182,0.081957,0.02822,0.409432,-3.019073,1.717543,1
193,'2023/12/21 03:08:51:041',1,-0.036653,0.08525,-0.003489,0.410194,-3.018101,1.701281,1
194,'2023/12/21 03:08:51:074',1,-0.001912,0.088985,0.012514,0.409359,-3.019675,1.686834,1
195,'2023/12/21 03:08:51:113',1,0.067007,0.109919,0.043478,0.406782,-3.021625,1.665022,1
196,'2023/12/21 03:08:51:142',1,-0.025839,0.104876,0.075172,0.405742,-3.021373,1.634467,1
197,'2023/12/21 03:08:51:174',1,-0.025389,0.091019,0.034158,0.40938,-3.016315,1.606753,1
198,'2023/12/21 03:08:51:207',1,0.023061,0.104525,-0.009994,0.414545,-3.003128,1.571216,1
199,'2023/12/21 03:08:51:241',1,-0.03688,0.068674,0.021292,0.41452,-2.991864,1.531627,1
200,'2023/12/21 03:08:51:273',1,-0.051069,0.073878,0.00724,0.414754,-2.985622,1.498513,1
201,'2023/12/21 03:08:51:307',1,0.00026,0.081305,-0.025971,0.4162,-2.97276,1.458805,1
202,'2023/12/21 03:08:51:340',1,-0.021533,0.053521,-0.01541,0.414552,-2.958835,1.415168,1
203,'2023/12/21 03:08:51:373',1,-0.069049,0.028185,-0.002029,0.409349,-2.955549,1.379591,1
204,'2023/12/21 03:08:51:407',1,-0.016045,0.042316,0.007673,0.403785,-2.952745,1.338846,1
205,'2023/12/21 03:08:51:440',1,-0.033096,0.006528,0.016518,0.400744,-2.944676,1.300255,1
206,'2023/12/21 03:08:51:474',1,-0.027673,0.028565,0.072958,0.398694,-2.935971,1.25536,1
207,'2023/12/21 03:08:51:508',1,-0.05082,0.031781,0.091166,0.403247,-2.924945,1.207081,1
208,'2023/12/21 03:08:51:541',1,-0.076238,0.045561,0.009027,0.410176,-2.912562,1.163827,1
209,'2023/12/21 03:08:51:573',1,-0.048251,0.058701,0.006166,0.415811,-2.901075,1.113166,1
210,'2023/12/21 03:08:51:607',1,-0.054843,0.07559,-0.044011,0.415791,-2.896696,1.061602,1
211,'2023/12/21 03:08:51:641',1,-0.068046,0.040575,-0.003627,0.413178,-2.896111,1.016906,1
212,'2023/12/21 03:08:51:673',1,-0.080477,0.044177,-0.062389,0.410248,-2.894984,0.96404,1
213,'2023/12/21 03:08:51:707',1,-0.057926,0.040975,-0.048123,0.403123,-2.891873,0.912381,1
214,'2023/12/21 03:08:51:741',1,-0.043233,0.036799,-0.02489,0.395527,-2.890063,0.866714,1
215,'2023/12/21 03:08:51:774',1,-0.086772,0.034022,0.007241,0.386071,-2.887275,0.812382,1
216,'2023/12/21 03:08:51:807',1,-0.058523,0.027958,0.024995,0.378006,-2.88273,0.757486,1
217,'2023/12/21 03:08:51:840',1,-0.091431,0.000617,0.047126,0.373514,-2.876542,0.709349,1
218,'2023/12/21 03:08:51:874',1,-0.053459,0.029833,0.033983,0.372182,-2.873533,0.65368,1
219,'2023/12/21 03:08:51:908',1,-0.060979,0.011151,-0.010147,0.370294,-2.867531,0.595647,1
220,'2023/12/21 03:08:51:940',1,-0.089612,-0.029261,0.017921,0.368373,-2.863142,0.546835,1
221,'2023/12/21 03:08:51:972',1,-0.083707,-0.051726,-0.008937,0.368123,-2.863527,0.493968,1
222,'2023/12/21 03:08:52:009',1,-0.09308,-0.058441,-0.061064,0.368694,-2.862942,0.450756,1
223,'2023/12/21 03:08:52:040',1,-0.100542,-0.069057,-0.103953,0.367636,-2.860677,0.405971,1
224,'2023/12/21 03:08:52:073',1,-0.105607,-0.090628,-0.051755,0.363523,-2.861418,0.367364,1
225,'2023/12/21 03:08:52:107',1,-0.095255,-0.078798,-0.076491,0.359646,-2.861934,0.333956,1
226,'2023/12/21 03:08:52:141',1,-0.078565,-0.070978,-0.086146,0.354833,-2.858812,0.308703,1
227,'2023/12/21 03:08:52:174',1,-0.090388,-0.090652,-0.007153,0.347336,-2.859386,0.28381,1
228,'2023/12/21 03:08:52:208',1,-0.060961,-0.076142,0.002897,0.343993,-2.862374,0.262899,1
229,'2023/12/21 03:08:52:240',1,-0.026837,-0.042611,-0.044914,0.343272,-2.86079,0.245729,1
230,'2023/12/21 03:08:52:274',1,-0.016935,-0.052377,-0.004058,0.343838,-2.856581,0.225752,1
231,'2023/12/21 03:08:52:307',1,-0.039053,-0.052853,-0.030072,0.345554,-2.854244,0.207171,1
232,'2023/12/21 03:08:52:341',1,-0.035963,-0.056456,-0.040334,0.345747,-2.852169,0.193285,1
233,'2023/12/21 03:08:52:373',1,-0.059115,-0.068263,-0.025398,0.345248,-2.850331,0.180388,1
234,'2023/12/21 03:08:52:408',1,-0.029971,-0.060808,-0.020064,0.345408,-2.84969,0.172359,1
235,'2023/12/21 03:08:52:441',1,-0.048149,-0.069335,-0.017669,0.345146,-2.849501,0.16515,1
236,'2023/12/21 03:08:52:473',1,-0.028639,-0.056193,-0.009866,0.344826,-2.849323,0.161015,1
237,'2023/12/21 03:08:52:512',1,-0.031407,-0.050612,0.006645,0.345536,-2.848762,0.158601,1
238,'2023/12/21 03:08:52:547',1,-0.048164,-0.039445,-0.008813,0.347415,-2.849273,0.157937,1
239,'2023/12/21 03:08:52:575',1,-0.01384,-0.023855,-0.013349,0.347589,-2.849499,0.159404,1
240,'2023/12/21 03:08:52:607',1,-0.022478,-0.023877,0.000456,0.346948,-2.850266,0.161266,1
241,'2023/12/21 03:08:52:641',1,-0.013912,-0.014122,0.013998,0.346613,-2.852327,0.165031,1
242,'2023/12/21 03:08:52:674',1,0.003487,-0.015503,0.022555,0.347335,-2.852702,0.16779,1
243,'2023/12/21 03:08:52:707',1,0.006274,-0.007274,0.005894,0.348735,-2.852812,0.169778,1
244,'2023/12/21 03:08:52:741',1,-0.010985,-0.007644,0.002451,0.348845,-2.854986,0.173008,1
